0.540	0.950	E4-1
0.950	1.300	E4+4
1.300	1.800	E4-1
2.790	2.980	E4+40
2.980	3.070	F4-2
3.070	3.190	G4-50
3.190	3.380	E4+46
3.380	3.590	D#4+4
3.590	3.790	E4-5
3.790	4.200	D#4-1
4.200	4.400	D#4-6
4.400	4.500	E4+14
4.500	5.250	D#4-6
6.950	7.140	D4+5
7.140	7.370	E4-6
7.370	7.680	E4-5
7.680	8.190	E4-20
9.190	9.390	B3+6
9.390	9.590	F#4+16
9.590	9.760	E4-2
9.760	9.990	F#4+4
9.990	10.160	E4-4
10.160	10.460	F#4-1
10.460	10.760	G#4-8
10.760	11.000	F#4+37
11.000	11.700	G#4-4
